"","Barrio","Clase.de.sitio","Código.DANE","New.DANE","EncBarrios","NewSitio"
"145","VDA. ALTAGRACIA","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","71","1"
"146","SECTOR PUENTES DE LA 9A CON 12","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","6","1"
"147","TERMINAL DE TRANSPORTES","TERMINAL DE TRANSPORTES","ARTÍCULO 346. UTILIZACIÓN ILEGAL DE UNIFORMES E INSIGNIAS","25","2","2"
"148","SECTOR PUENTES DE LA 9A CON 12","VIAS PUBLICAS","ARTÍCULO 239. HURTO RESIDENCIAS","21","6","1"
"149","BALCONES DE LA ALAMEDA","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","72","1"
"150","BALCONES DE LA ALAMEDA","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","72","1"
"151","BALCONES DE LA ALAMEDA","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","72","1"
"152","BALCONES DE LA ALAMEDA","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","72","1"
"153","BALCONES DE LA ALAMEDA","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","72","1"
"154","BALCONES DE LA ALAMEDA","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","72","1"
"155","COROCITO","VIAS PUBLICAS","ARTÍCULO 239. HURTO PERSONAS","6","14","1"
"156","RESTREPO","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","69","1"
"157","LA VILLA","VIAS PUBLICAS","ARTÍCULO 340. CONCIERTO PARA DELINQUIR","22","73","1"
"158","SAN ESTEBAN","SUPERMERCADOS","ARTÍCULO 239. HURTO ENTIDADES COMERCIALES","3","36","17"
"159","COROCITO","VIAS PUBLICAS","ARTÍCULO 271. DEFRAUDACIÓN A LOS DERECHOS PATRIMONIALES DE AUTOR","26","14","1"
"160","SECTOR PARQUE LA LIBERTAD","ESTABLECIMIENTO DE COMERCIO","ARTÍCULO 111. LESIONES PERSONALES","11","21","18"
"161","SANTA TERESITA","VIAS PUBLICAS","ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR","10","42","1"
"162","LOS NOGALES VICOM 7","VIAS PUBLICAS","ARTÍCULO 265. DAÑO EN BIEN AJENO","27","74","1"
"163","SECTOR CARCEL LA 40","VIAS PUBLICAS","ARTÍCULO 239. HURTO PERSONAS","6","54","1"
"164","SAN GREGORIO","VIAS PUBLICAS","ARTÍCULO 111. LESIONES PERSONALES","11","34","1"
"165","EL DORADO","VIAS PUBLICAS","ARTÍCULO 103. HOMICIDIO","15","40","1"
"166","NUEVO PEÑOL","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","75","1"
"167","TRAVESURAS-LA CHURRIA","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","28","1"
"168","SAN JORGE","VIAS PUBLICAS","ARTÍCULO 239. HURTO MOTOCICLETAS","4","37","1"
"169","TERMINAL DE TRANSPORTES","TERMINAL DE TRANSPORTES","ARTÍCULO 346. UTILIZACIÓN ILEGAL DE UNIFORMES E INSIGNIAS","25","2","2"
"170","LAS BRISAS  (V/SANTANA)","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","39","1"
"171","CORALES","VIAS PUBLICAS","ARTÍCULO 447. RECEPTACIÓN","16","76","1"
"172","PRIMERO DE FEBRERO 1","VIAS PUBLICAS","ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR","10","31","1"
"173","TERMINAL DE TRANSPORTES","TERMINAL DE TRANSPORTES","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","2","2"
"174","HERNANDO VELEZ MARULANDA","VIAS PUBLICAS","ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR","10","77","1"
"175","SAN ESTEBAN","VIAS PUBLICAS","ARTÍCULO 365. FABRICACIÓN, TRÁFICO, PORTE O TENENCIA DE ARMAS DE FUEGO,ACCESORIOS, PARTES O MUNICIONES","13","36","1"
"176","VILLAVICENCIO","VIAS PUBLICAS","ARTÍCULO 296. FALSEDAD PERSONAL","28","44","1"
"177","INTERMEDIO (V/SANTANA)","VIAS PUBLICAS","ARTÍCULO 111. LESIONES PERSONALES","11","78","1"
"178","SECTOR PARQUE LA LIBERTAD","VIAS PUBLICAS","ARTÍCULO 239. HURTO PERSONAS","6","21","1"
"179","CAMPO ALEGRE","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","79","1"
"180","SECTOR PARQUE LA LIBERTAD","LOCAL COMERCIAL","ARTÍCULO 239. HURTO PERSONAS","6","21","12"
"181","NUEVO PEÑOL","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","75","1"
"182","SECTOR CARCEL LA 40","VIAS PUBLICAS","ARTÍCULO 239. HURTO PERSONAS","6","54","1"
"183","SECTOR PARQUE LA LIBERTAD","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","21","1"
"184","SECTOR PUENTES DE LA 9A CON 12","VIAS PUBLICAS","ARTÍCULO 365. FABRICACIÓN, TRÁFICO, PORTE O TENENCIA DE ARMAS DE FUEGO,ACCESORIOS, PARTES O MUNICIONES","13","6","1"
"185","MONSERRATE","VIAS PUBLICAS","ARTÍCULO 111. LESIONES PERSONALES","11","63","1"
"186","SECTOR PUENTES DE LA 9A CON 12","VIAS PUBLICAS","ARTÍCULO 239. HURTO PERSONAS","6","6","1"
"187","P.INDUSTRIAL D","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","80","1"
"188","CONJ. RES. CORALINA","VIAS PUBLICAS","ARTÍCULO 244. EXTORSIÓN","17","81","1"
"189","SECTOR CARCEL LA 40","VIAS PUBLICAS","ARTÍCULO 365. FABRICACIÓN, TRÁFICO, PORTE O TENENCIA DE ARMAS DE FUEGO,ACCESORIOS, PARTES O MUNICIONES","13","54","1"
"190","SAMARIA I","VIAS PUBLICAS","ARTÍCULO 365. FABRICACIÓN, TRÁFICO, PORTE O TENENCIA DE ARMAS DE FUEGO,ACCESORIOS, PARTES O MUNICIONES","13","82","1"
"191","SAN GREGORIO","CASAS DE HABITACION","ARTÍCULO 111. LESIONES PERSONALES","11","34","6"
"192","SAN GREGORIO","CASAS DE HABITACION","ARTÍCULO 111. LESIONES PERSONALES","11","34","6"
"193","CENTENARIO","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","83","1"
"194","CENTENARIO","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","83","1"
"195","CENTENARIO","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","83","1"
"196","CENTENARIO","CASAS DE HABITACION","ARTÍCULO 340. CONCIERTO PARA DELINQUIR","22","83","6"
"197","PRIMERO DE FEBRERO 1","CASAS DE HABITACION","ARTÍCULO 340. CONCIERTO PARA DELINQUIR","22","31","6"
"198","SECTOR CARCEL LA 40","VIAS PUBLICAS","ARTÍCULO 239. HURTO PERSONAS","6","54","1"
"199","SECTOR PLAZA DE BOLIVAR","LOCAL COMERCIAL","ARTÍCULO 246. ESTAFA","29","1","12"
"200","SAN JUAN","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","11","1"
"201","SAMARIA II","VIAS PUBLICAS","ARTÍCULO 429. VIOLENCIA CONTRA SERVIDOR PÚBLICO","1","67","1"
"202","SECTOR PUENTES DE LA 9A CON 12","VIAS PUBLICAS","ARTÍCULO 239. HURTO PERSONAS","6","6","1"
"203","LA PAZ CENTRO","CASAS DE HABITACION","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","22","6"
"204","LA PAZ CENTRO","CASAS DE HABITACION","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","22","6"
"205","VILLAVICENCIO","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","44","1"
"206","CAÑARTE","VIAS PUBLICAS","ARTÍCULO 239. HURTO ENTIDADES COMERCIALES","3","84","1"
"207","CIUDADELA SALAMANCA V.I.P","VIAS PUBLICAS","ARTÍCULO 111. LESIONES PERSONALES","11","85","1"
"208","RESTREPO","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","69","1"
"209","LAURELES II","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","86","1"
"210","SECTOR PARQUE LA LIBERTAD","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","21","1"
"211","P.INDUSTRIAL A","VIAS PUBLICAS","ARTÍCULO 239. HURTO PERSONAS","6","7","1"
"212","LA PAZ CENTRO","VIAS PUBLICAS","ARTÍCULO 239. HURTO PERSONAS","6","22","1"
"213","SECTOR PARQUE LA LIBERTAD","VIAS PUBLICAS","ARTÍCULO 340. CONCIERTO PARA DELINQUIR","22","21","1"
"214","SANTA TERESITA","VIAS PUBLICAS","ARTÍCULO 239. HURTO PERSONAS","6","42","1"
"215","INTERMEDIO (V/SANTANA)","INTERIOR VEHICULO SERVICIO PUBLICO","ARTÍCULO 239. HURTO PERSONAS","6","78","19"
"216","SECTOR PARQUE LA LIBERTAD","ALMACENES","ARTÍCULO 239. HURTO ENTIDADES COMERCIALES","3","21","3"
"217","SECTOR PARQUE EL LAGO","VIAS PUBLICAS","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS","23","5","1"
